TICKER,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,CUR_MKT_CAP,PX_LAST,NAME_OF_CEO,CEO_START_DATE,TOT_CEO_COMP,COMPANY_TEL_NUMBER,COMPANY_WEB_ADDRESS
AES UN  EQUITY,AES CORP,Utilities,Electric,7054059996.12,10.67,Andres Ricardo Gluski Weilert,9/30/2011,14174886,1-703-522-1315,www.aes.com
AET UN  EQUITY,AETNA INC,"Consumer, Non-cyclical",Healthcare-Services,56175264645.50,171.79,Mark T Bertolini,11/29/2010,18662306,1-860-273-0123,www.aetna.com
AFL UN  EQUITY,AFLAC INC,Financial,Insurance,35422183154.70,45.45,"Daniel P Amos ""Dan""",1/1/1990,20412010,1-706-323-3431,www.aflac.com
AGN UN  EQUITY,ALLERGAN PLC,"Consumer, Non-cyclical",Pharmaceuticals,53806162614.75,164.38,"Brenton L Saunders ""Brent""",01-01-2014,4139028,1-862-261-7000,www.allergan.com
AIG UN  EQUITY,AMERICAN INTERNATIONAL GROUP,Financial,Insurance,50023850517.27,55.43,Peter Zaffino,8/1/2017,9576535,1-212-770-7000,www.aig.com
AIV UN  EQUITY,APARTMENT INVT & MGMT CO -A,Financial,REITS,6294783782.62,40.01,Terry Considine,7/1/1994,6350609,1-303-757-8101,www.aimco.com
AIZ UN  EQUITY,ASSURANT INC,Financial,Insurance,4768440324.96,90.87,Alan B Colberg,1/1/2015,7797881,1-212-859-7000,www.assurant.com
AJG UN  EQUITY,ARTHUR J GALLAGHER & CO,Financial,Insurance,12844960800.00,70.8,J Patrick Gallagher Jr,1/1/1995,5739167,1-630-773-3800,www.ajg.com
AKAM UW  EQUITY,AKAMAI TECHNOLOGIES INC,Technology,Software,12488819918.25,73.45,F Thomson Leighton,1/1/2013,6258770,1-617-444-3000,www.akamai.com
ALB UN  EQUITY,ALBEMARLE CORP,Basic Materials,Chemicals,10563759110.52,95.64,"Luther C Kissam IV ""Luke""",9/1/2011,8434150,1-980-299-5700,www.albemarle.com
ALGN UW  EQUITY,ALIGN TECHNOLOGY INC,"Consumer, Non-cyclical",Healthcare-Products,21525123861.69,268.61,"Joseph M Hogan ""Joe""",6/1/2015,8992261,1-408-470-1000,www.aligntech.com
ALK UN  EQUITY,ALASKA AIR GROUP INC,"Consumer, Cyclical",Airlines,8026712440.00,65.04,"Bradley D Tilden ""Brad""",5/15/2012,4246312,1-206-392-5040,www.alaskaair.com
ALL UN  EQUITY,ALLSTATE CORP,Financial,Insurance,34463960576.85,97.23,Thomas Wilson,1/1/2007,13813515,1-847-402-5000,www.allstate.com
ALLE UN  EQUITY,ALLEGION PLC,Industrial,Electronics,8174523697.84,85.88,"David D Petratis ""Dave""",8/5/2013,7129492,353-1-254-6200,www.allegion.com
ALXN UW  EQUITY,ALEXION PHARMACEUTICALS INC,"Consumer, Non-cyclical",Biotechnology,26577387481.93,119.96,Ludwig N Hantson,3/27/2017,13688121,1-475-230-2596,www.alexion.com
AMAT UW  EQUITY,APPLIED MATERIALS INC,Technology,Semiconductors,62137658809.14,59.22,Gary E Dickerson,9/1/2013,15322705,1-408-727-5555,www.appliedmaterials.com
AMD UR  EQUITY,ADVANCED MICRO DEVICES,Technology,Semiconductors,10902732052.50,11.255,Lisa T Su,10/8/2014,10894821,1-408-749-4000,www.amd.com
AME UN  EQUITY,AMETEK INC,Industrial,Electrical Compo&Equip,18159766806.50,78.48,David A Zapico,5/5/2016,9315035,1-610-647-2121,www.ametekdfs.com
AMG UN  EQUITY,AFFILIATED MANAGERS GROUP,Financial,Diversified Finan Serv,10313952704.60,189.31,Sean M Healey,1/1/2005,14732572,1-617-747-3300,www.amg-boston.com
AMGN UW  EQUITY,AMGEN INC,"Consumer, Non-cyclical",Biotechnology,131617899854.36,182.69,Robert A Bradway,5/23/2012,16850001,1-805-447-1000,www.amgen.com
AMP UN  EQUITY,AMERIPRISE FINANCIAL INC,Financial,Diversified Finan Serv,22876646027.83,156.59,"James M Cracchiolo ""Jim""",9/30/2005,23900309,1-612-671-3131,www.ameriprise.com
AMT UN  EQUITY,AMERICAN TOWER CORP,Financial,REITS,64575967416.08,146.42,James D Taiclet Jr,10/10/2003,11847397,1-617-375-7500,www.americantower.com
AMZN UW  EQUITY,AMAZON.COM INC,Communications,Internet,763630670464.20,1578,"Jeffrey P Bezos ""Jeff""",5/1/1996,1681840,1-206-266-1000,www.amazon.com/
ANDV UN  EQUITY,ANDEAVOR,Energy,Oil&Gas,15482354546.28,101.19,"Gregory J Goff ""Greg""",5/1/2010,19924675,1-210-626-6000,www.andeavor.com
ANSS UW  EQUITY,ANSYS INC,Technology,Software,13915936383.04,165.92,Ajei S Gopal,1/1/2017,7371075,1-724-820-3700,www.ansys.com
ANTM UN  EQUITY,ANTHEM INC,"Consumer, Non-cyclical",Healthcare-Services,58670275517.00,229.47,Gail Koziara Boudreaux,11/20/2017,16455697,1-317-488-6000,www.antheminc.com
AON UN  EQUITY,AON PLC,Financial,Insurance,35735562831.60,145.18,"Gregory C Case ""Greg""",4/4/2005,28077798,44-20-7623-5500,www.aon.com
AOS UN  EQUITY,SMITH (A.O.) CORP,Industrial,Miscellaneous Manufactur,11268007565.37,65.69,Ajita G Rajendra,1/1/2013,7571163,1-414-359-4000,www.aosmith.com
APA UN  EQUITY,APACHE CORP,Energy,Oil&Gas,13804596678.18,36.23,John J Christmann,01-01-2014,13416196,1-713-296-6000,www.apachecorp.com
APC UN  EQUITY,ANADARKO PETROLEUM CORP,Energy,Oil&Gas,31352845982.72,58.91,"R A Walker ""Al""",5/15/2012,18650252,1-832-636-1000,www.anadarko.com
APD UN  EQUITY,AIR PRODUCTS & CHEMICALS INC,Basic Materials,Chemicals,36405227302.84,166.18,"Seifollah Ghasemi ""Seifi""",6/30/2014,13959767,1-610-481-4911,www.airproducts.com
APH UN  EQUITY,AMPHENOL CORP-CL A,Industrial,Electronics,27957875545.60,91.5,Richard Adam Norwitt,1/1/2009,7405165,1-203-265-8900,www.amphenol-tcs.com
APTV UN  EQUITY,APTIV PLC,"Consumer, Cyclical",Auto Parts&Equipment,23260375000.00,87.74,Kevin P Clark,3/1/2015,13800347,44-163-423-4422,www.aptiv.com
ARE UN  EQUITY,ALEXANDRIA REAL ESTATE EQUIT,Financial,REITS,12815826907.63,126.57,Joel S Marcus,01-01-2014,11307499,1-626-578-0777,www.are.com
ARNC UN  EQUITY,ARCONIC INC,Industrial,Aerospace/Defense,11572050880.44,23.97,"Charles P Blankenship Jr ""Chip""",1/15/2018,14184485,1-800-278-4825,www.arconic.com
ATVI UW  EQUITY,ACTIVISION BLIZZARD INC,Technology,Software,54181473371.46,71.45,"Robert A Kotick ""Bobby""",8/10/1992,33065560,1-310-255-2000,www.activision.com
AVB UN  EQUITY,AVALONBAY COMMUNITIES INC,Financial,REITS,22662853161.44,164.03,"Timothy J Naughton ""Tim""",1/1/2012,6683693,1-703-329-6300,www.avaloncommunities.com
AVGO UW  EQUITY,BROADCOM LTD,Technology,Semiconductors,99788087235.90,243.05,Hock E Tan,3/1/2006,103211163,1-408-433-8000,www.broadcom.com
AVY UN  EQUITY,AVERY DENNISON CORP,"Consumer, Non-cyclical",Household Products/Wares,9740512232.64,110.56,Mitchell R Butier,5/1/2016,8959468,1-626-304-2000,www.averydennison.com
AWK UN  EQUITY,AMERICAN WATER WORKS CO INC,Utilities,Water,14519842378.36,81.32,Susan N Story,5/9/2014,4096532,1-856-346-8200,www.amwater.com
AXP UN  EQUITY,AMERICAN EXPRESS CO,Financial,Diversified Finan Serv,81842765065.05,95.13,Stephen Joseph Squeri,2/1/2018,18611373,1-212-640-2000,www.americanexpress.com
AYI UN  EQUITY,ACUITY BRANDS INC,Industrial,Electrical Compo&Equip,6187993512.64,146.78,Vernon J Nagel,9/1/2004,7708901,1-404-853-1400,www.acuitybrands.com
AZO UN  EQUITY,AUTOZONE INC,"Consumer, Cyclical",Retail,17462163690.49,649.13,"William C Rhodes III ""Bill""",3/13/2005,3335238,1-901-495-6500,www.autozone.com
BA UN  EQUITY,BOEING CO/THE,Industrial,Aerospace/Defense,198740227289.76,338.29,Dennis A Muilenburg,7/1/2015,25669714,1-312-544-2000,www.boeing.com
BAC UN  EQUITY,BANK OF AMERICA CORP,Financial,Banks,328191126904.50,32.09,Brian T Moynihan,1/1/2010,21779832,1-704-386-5681,www.bankofamerica.com
BAX UN  EQUITY,BAXTER INTERNATIONAL INC,"Consumer, Non-cyclical",Healthcare-Products,36054265901.25,66.74,"Jose E Almeida ""Joe""",1/1/2016,5813945,1-847-948-2000,www.baxter.com
BBT UN  EQUITY,BB&T CORP,Financial,Banks,42661552911.04,54.88,Kelly S King,1/1/2009,12674696,1-336-733-2000,www.bbt.com
BBY UN  EQUITY,BEST BUY CO INC,"Consumer, Cyclical",Retail,20427775610.36,69.9,Hubert Joly,9/4/2012,14037980,1-612-291-1000,www.bestbuy.com
BDX UN  EQUITY,BECTON DICKINSON AND CO,"Consumer, Non-cyclical",Healthcare-Products,58440222604.00,219.67,Vincent A Forlenza,10/1/2011,13058840,1-201-847-6800,www.bd.com
BEN UN  EQUITY,FRANKLIN RESOURCES INC,Financial,Diversified Finan Serv,21146797033.17,38.31,"Gregory Eugene Johnson ""Greg""",1/1/2004,9883215,1-650-312-2000,www.franklinresources.com
BF/B UN  EQUITY,BROWN-FORMAN CORP-CLASS B,"Consumer, Non-cyclical",Beverages,26430908644.85,55.22,Paul C Varga,8/1/2005,8865000,1-502-585-1100,www.brown-forman.com
BHF UW  EQUITY,BRIGHTHOUSE FINANCIAL INC,Financial,Insurance,6434211254.32,53.7,Eric T Steigerwalt,8/4/2017,1972094,1-980-365-7100,www.brighthousefinancial.com
BHGE UN  EQUITY,BAKER HUGHES A GE CO,Energy,Oil&Gas Services,34180671033.28,30.27,Lorenzo Simonelli,01-01-2014,17613367,1-713-439-8600,www.bhge.com
BIIB UW  EQUITY,BIOGEN INC,"Consumer, Non-cyclical",Biotechnology,59064070677.48,279.26,Michel Vounatsos,1/6/2017,17733788,1-781-464-2000,www.biogen.com
BK UN  EQUITY,BANK OF NEW YORK MELLON CORP,Financial,Banks,54800461912.77,54.39,"Charles W Scharf ""Charlie""",7/17/2017,36183185,1-212-495-1784,www.bnymellon.com
BKNG UW  EQUITY,BOOKING HOLDINGS INC,Communications,Internet,104064813075.52,2155.06,Glenn D Fogel,1/1/2017,16846213,1-203-299-8000,www.bookingholdings.com
BLK UN  EQUITY,BLACKROCK INC,Financial,Diversified Finan Serv,89972468010.78,554.57,Laurence Douglas Fink,1/1/1988,25472831,1-212-810-5300,www.blackrock.com
BLL UN  EQUITY,BALL CORP,Industrial,Packaging&Containers,13944978370.44,39.8,John A Hayes,1/26/2011,12932654,1-303-469-3131,www.ball.com
BMY UN  EQUITY,BRISTOL-MYERS SQUIBB CO,"Consumer, Non-cyclical",Pharmaceuticals,108372819882.60,66.27,Giovanni Caforio,5/5/2015,16933858,1-212-546-4000,www.bms.com
BRK/B UN  EQUITY,BERKSHIRE HATHAWAY INC-CL B,Financial,Insurance,503584073623.57,204.08,Warren E Buffett,1/1/1970,100000,1-402-346-1400,www.berkshirehathaway.com
BSX UN  EQUITY,BOSTON SCIENTIFIC CORP,"Consumer, Non-cyclical",Healthcare-Products,37988785321.11,27.63,"Michael F Mahoney ""Mike""",11/1/2012,12026183,1-508-683-4000,www.bostonscientific.com
BWA UN  EQUITY,BORGWARNER INC,"Consumer, Cyclical",Auto Parts&Equipment,10545967329.84,50.04,James R Verrier,1/1/2013,14085523,1-248-754-9200,www.borgwarner.com
BXP UN  EQUITY,BOSTON PROPERTIES INC,Financial,REITS,19406662561.40,125.74,Owen D Thomas,4/2/2013,10002021,1-617-236-3300,www.bostonproperties.com
C UN  EQUITY,CITIGROUP INC,Financial,Banks,187390225613.89,73.19,"Michael L Corbat ""Mike""",10/1/2012,17801683,1-212-559-1000,www.citigroup.com
CA UW  EQUITY,CA INC,Technology,Software,14729932127.32,35.33,"Michael P Gregoire ""Mike""",1/7/2013,11937722,1-800-225-5224,www.ca.com
CAG UN  EQUITY,CONAGRA BRANDS INC,"Consumer, Non-cyclical",Food,14543988782.40,36.31,Sean M Connolly,4/6/2015,9768277,1-312-549-5000,www.conagrabrands.com
CAH UN  EQUITY,CARDINAL HEALTH INC,"Consumer, Non-cyclical",Pharmaceuticals,20676244249.80,65.72,"Michael C Kaufmann ""Mike""",1/1/2018,10985177,1-614-757-5000,www.cardinalhealth.com
CAT UN  EQUITY,CATERPILLAR INC,Industrial,Machinery-Constr&Mining,92135965269.24,154.2,"D James Umpleby III ""Jim""",1/1/2017,15472514,1-309-675-1000,www.cat.com
CB UN  EQUITY,CHUBB LTD,Financial,Insurance,65794217079.58,141.74,Evan G Greenberg,5/27/2004,24419486,41-43-456-7600,www.new.chubb.com
CBOE UW  EQUITY,CBOE GLOBAL MARKETS INC,Financial,Diversified Finan Serv,13603486861.50,120.7,"Edward T Tilly ""Ed""",5/1/2013,5953583,1-312-786-5600,www.bats.com
CBRE UN  EQUITY,CBRE GROUP INC - A,Financial,Real Estate,16102872835.11,47.43,"Robert E Sulentic ""Bob""",12/1/2012,4960794,1-213-613-3333,www.cbre.com
CBS UN  EQUITY,CBS CORP-CLASS B NON VOTING,Communications,Media,19321344926.06,50.51,"Leslie Moonves ""Les""",1/3/2006,69550657,1-212-975-4321,www.cbscorporation.com
CCI UN  EQUITY,CROWN CASTLE INTL CORP,Financial,REITS,45203418702.20,108.96,Jay A Brown,6/1/2016,16739031,1-713-570-3000,www.crowncastle.com
CCL UN  EQUITY,CARNIVAL CORP,"Consumer, Cyclical",Leisure Time,48308848173.84,67.82,Arnold W Donald,7/1/2013,13046075,1-305-599-2600,www.carnivalcorp.com
CDNS UW  EQUITY,CADENCE DESIGN SYS INC,Technology,Software,10733464205.00,37.95,Lip-Bu Tan,1/1/2009,7610736,1-408-943-1234,www.cadence.com
CELG UW  EQUITY,CELGENE CORP,"Consumer, Non-cyclical",Biotechnology,65657408822.32,87.37,Mark J Alles,3/1/2016,28718654,1-908-673-9000,www.celgene.com
CERN UW  EQUITY,CERNER CORP,Technology,Software,19736325146.82,59.38,Brent Shafer,2/1/2018,6083664,1-816-201-1024,www.cerner.com
CF UN  EQUITY,CF INDUSTRIES HOLDINGS INC,Basic Materials,Chemicals,8921087953.76,38.24,"W Anthony Will ""Tony""",1/2/2014,6437513,1-847-405-2400,www.cfindustries.com
CFG UN  EQUITY,CITIZENS FINANCIAL GROUP,Financial,Banks,21918002519.28,44.91,Bruce Van Saun,10/1/2013,8549989,1-401-456-7000,www.citizensbank.com
CHD UN  EQUITY,CHURCH & DWIGHT CO INC,"Consumer, Non-cyclical",Household Products/Wares,12116005788.39,49.64,"Matthew T Farrell ""Matt""",1/1/2016,6537885,1-609-806-1200,www.churchdwight.com
CHRW UW  EQUITY,C.H. ROBINSON WORLDWIDE INC,Industrial,Transportation,13038562480.20,93.3,John P Wiehoff,5/7/2002,6321399,1-952-937-8500,www.chrobinson.com
CHTR UW  EQUITY,CHARTER COMMUNICATIONS INC-A,Communications,Media,87593816939.95,332.29,"Thomas M Rutledge ""Tom""",2/13/2012,7813316,1-203-905-7801,www.charter.com
CI UN  EQUITY,CIGNA CORP,"Consumer, Non-cyclical",Healthcare-Services,40216875518.82,165.27,David M Cordani,1/1/2010,17595792,1-860-226-6000,www.cigna.com
CINF UW  EQUITY,CINCINNATI FINANCIAL CORP,Financial,Insurance,12363079294.02,75.39,Steven J Johnston,5/2/2011,4249903,1-513-870-2000,www.cinfin.com
CL UN  EQUITY,COLGATE-PALMOLIVE CO,"Consumer, Non-cyclical",Cosmetics/Personal Care,61071546370.72,69.75,Ian M Cook,7/2/2007,14690306,1-212-310-2000,www.colgatepalmolive.com
CLX UN  EQUITY,CLOROX COMPANY,"Consumer, Non-cyclical",Household Products/Wares,16553358400.80,127.92,Benno Dorer,11/20/2014,8068890,1-510-271-7000,www.thecloroxcompany.com
CMA UN  EQUITY,COMERICA INC,Financial,Banks,17090124887.37,98.99,Ralph W Babb Jr,1/1/2002,12095114,1-214-462-6831,www.comerica.com
CMCSA UW  EQUITY,COMCAST CORP-CLASS A,Communications,Media,162116552334.72,34.91,Brian L Roberts,11/1/2002,32963491,1-800-934-6489,corporate.comcast.com
CME UW  EQUITY,CME GROUP INC,Financial,Diversified Finan Serv,56092091115.15,164.79,Terrence A Duffy,12/31/2016,8400480,1-312-930-1000,www.cmegroup.com
CMG UN  EQUITY,CHIPOTLE MEXICAN GRILL INC,"Consumer, Cyclical",Retail,8999133638.40,322.2,Brian R Niccol,3/5/2018,31142356,1-303-595-4000,www.chipotle.com
CMI UN  EQUITY,CUMMINS INC,Industrial,Machinery-Diversified,26499766343.19,160.53,"N Thomas Linebarger ""Tom""",1/1/2012,13419856,1-812-377-5000,www.cummins.com
CMS UN  EQUITY,CMS ENERGY CORP,Utilities,Electric,12395431619.34,43.9,"Patricia Kessler Poppe ""Patti""",7/1/2016,13702596,1-517-788-0550,www.cmsenergy.com
CNC UN  EQUITY,CENTENE CORP,"Consumer, Non-cyclical",Healthcare-Services,18083956481.08,103.33,Michael F Neidorff,5/1/1996,25259468,1-314-725-4477,www.centene.com
CNP UN  EQUITY,CENTERPOINT ENERGY INC,Utilities,Electric,11537531411.42,26.74,Scott M Prochazka,1/1/2014,8024525,1-713-207-1111,www.centerpointenergy.com
COF UN  EQUITY,CAPITAL ONE FINANCIAL CORP,Financial,Banks,48156977067.82,99.01,Richard Dana Fairbank,7/26/1994,16921137,1-877-383-4802,www.capitalone.com
COG UN  EQUITY,CABOT OIL & GAS CORP,Energy,Oil&Gas,11160242635.92,24.2,Dan O Dinges,5/2/2002,11311837,1-281-589-4600,www.cabotog.com
COL UN  EQUITY,ROCKWELL COLLINS INC,Industrial,Aerospace/Defense,22339910154.65,136.45,"Robert K Ortberg ""Kelly""",8/1/2013,8073347,1-319-295-1000,www.rockwellcollins.com
COO UN  EQUITY,COOPER COS INC/THE,"Consumer, Non-cyclical",Healthcare-Products,11315331671.58,230.89,Robert S Weiss,11/1/2007,6557113,1-925-460-3600,www.coopercos.com
COP UN  EQUITY,CONOCOPHILLIPS,Energy,Oil&Gas,64554779729.76,54.99,Ryan M Lance,4/1/2012,19212038,1-281-293-1000,www.conocophillips.com
COST UW  EQUITY,COSTCO WHOLESALE CORP,"Consumer, Cyclical",Retail,81774157687.20,186.35,W Craig Jelinek,1/1/2012,6620969,1-425-313-8100,www.costco.com
COTY UN  EQUITY,COTY INC-CL A,"Consumer, Non-cyclical",Cosmetics/Personal Care,13838748886.13,18.455,Camillo Pane,9/1/2016,12419073,1-212-389-7300,www.coty.com
CPB UN  EQUITY,CAMPBELL SOUP CO,"Consumer, Non-cyclical",Food,12900204425.08,42.91,Denise M Morrison,8/1/2011,8923761,1-856-342-4800,www.campbellsoups.com
CRM UN  EQUITY,SALESFORCE.COM INC,Technology,Software,92037330000.00,125.84,Marc R Benioff,11/1/2001,13170047,1-415-901-7000,www.salesforce.com
CSCO UW  EQUITY,CISCO SYSTEMS INC,Communications,Telecommunications,213391933675.95,44.28,"Charles H Robbins ""Chuck""",7/26/2015,16747107,1-408-526-4000,www.cisco.com
CSRA UN  EQUITY,CSRA INC,Technology,Computers,6783260280.04,41.38,"Lawrence B Prior III ""Larry""",11/27/2015,8968078,1-703-641-2000,www.csra.com
CSX UW  EQUITY,CSX CORP,Industrial,Transportation,50705541972.00,57.15,"James M Foote ""Jim""",12/14/2017,13580104,1-904-359-3200,www.csx.com
CTAS UW  EQUITY,CINTAS CORP,"Consumer, Non-cyclical",Commercial Services,18522661698.06,173.94,Scott D Farmer,7/10/2003,8550621,1-513-459-1200,www.cintas-corp.com
CTL UN  EQUITY,CENTURYLINK INC,Communications,Telecommunications,17486889224.98,16.35,Glen F Post III,5/10/1999,13966214,1-318-388-9000,www.centurylink.com
CTSH UW  EQUITY,COGNIZANT TECH SOLUTIONS-A,Technology,Computers,49560966345.24,84.3,Francisco D'Souza,1/1/2007,8256640,1-201-801-0233,www.cognizant.com
CTXS UW  EQUITY,CITRIX SYSTEMS INC,Technology,Software,12898932097.44,94.72,David James Henshall,10/16/2013,23418804,1-954-267-3000,www.citrix.com
CVS UN  EQUITY,CVS HEALTH CORP,"Consumer, Non-cyclical",Pharmaceuticals,63367678526.22,62.45,Larry J Merlo,3/1/2011,18359377,1-401-765-1500,www.cvshealth.com
CVX UN  EQUITY,CHEVRON CORP,Energy,Oil&Gas,219067843398.08,114.69,"Michael K Wirth ""Mike""",2/1/2018,24657491,1-925-842-1000,www.chevron.com
CXO UN  EQUITY,CONCHO RESOURCES INC,Energy,Oil&Gas,22217072662.08,149.17,"Timothy A Leach ""Tim""",01-01-2014,10810237,1-432-683-7443,www.concho.com
D UN  EQUITY,DOMINION ENERGY INC,Utilities,Electric,44629439758.00,68.51,Thomas F Farrell II,1/1/2006,13285854,1-888-216-3718,www.dominionenergy.com
DAL UN  EQUITY,DELTA AIR LINES INC,"Consumer, Cyclical",Airlines,39898189925.52,56.379,"Edward H Bastian ""Ed""",5/2/2016,17909108,1-404-715-2191,www.delta.com
DE UN  EQUITY,DEERE & CO,Industrial,Machinery-Diversified,51909668432.64,160.29,"Samuel R Allen ""Sam""",8/1/2009,16052192,1-309-765-8000,www.deere.lu
DFS UN  EQUITY,DISCOVER FINANCIAL SERVICES,Financial,Diversified Finan Serv,26809731609.29,75.83,David W Nelms,1/1/2004,8776023,1-224-405-0900,www.discover.com
DG UN  EQUITY,DOLLAR GENERAL CORP,"Consumer, Cyclical",Retail,25328736692.19,93.27,Todd J Vasos,6/3/2015,8593288,1-615-855-4000,www.dollargeneral.com
DGX UN  EQUITY,QUEST DIAGNOSTICS INC,"Consumer, Non-cyclical",Healthcare-Services,14141602449.52,104.26,"Stephen H Rusckowski ""Steve""",5/1/2012,10252595,1-973-520-2700,www.questdiagnostics.com
DHI UN  EQUITY,DR HORTON INC,"Consumer, Cyclical",Home Builders,16281122398.68,43.31,David V Auld,10/1/2014,10405953,1-817-390-8200,www.drhorton.com
DHR UN  EQUITY,DANAHER CORP,"Consumer, Non-cyclical",Healthcare-Products,70140610208.50,100.53,Thomas P Joyce Jr,9/9/2014,12968801,1-202-828-0850,www.danaher.com
DIS UN  EQUITY,WALT DISNEY CO/THE,Communications,Media,152547877344.55,101.448,"Robert A Iger ""Bob""",10/2/2005,36283680,1-818-560-1000,thewaltdisneycompany.com
DISCA UW  EQUITY,DISCOVERY COMMUNICATIONS-A,Communications,Media,15202282990.57,22.25,David M Zaslav,1/1/2007,37192354,1-240-662-2000,corporate.discovery.com
DISCK UW  EQUITY,DISCOVERY COMMUNICATIONS-C,Communications,Media,15200356230.37,20.57,David M Zaslav,1/1/2007,37192354,1-240-662-2000,corporate.discovery.com
DISH UW  EQUITY,DISH NETWORK CORP-A,Communications,Media,18187887153.10,38.99,W Erik Carlson,12/5/2017,1656833,1-303-723-1000,www.dish.com
DLR UN  EQUITY,DIGITAL REALTY TRUST INC,Financial,REITS,22440851442.00,104.83,"Arthur William Stein ""Bill""",01-01-2014,8251982,1-415-738-6500,www.digitalrealty.com
DLTR UW  EQUITY,DOLLAR TREE INC,"Consumer, Cyclical",Retail,22421131825.53,94.51,Gary M Philbin,9/18/2017,10582038,1-757-321-5000,www.dollartree.com
DOV UN  EQUITY,DOVER CORP,Industrial,Miscellaneous Manufactur,16050915490.95,103.91,Robert A Livingston,12/1/2008,8293255,1-630-541-1540,www.dovercorporation.com
DPS UN  EQUITY,DR PEPPER SNAPPLE GROUP INC,"Consumer, Non-cyclical",Beverages,21179244710.74,117.83,Larry D Young,10/1/2007,8921147,1-972-673-7000,www.drpeppersnapplegroup.com
DRE UN  EQUITY,DUKE REALTY CORP,Financial,REITS,9281753780.00,26,"James B Connor ""Jim""",12/31/2015,6200313,1-317-808-6000,www.dukerealty.com
DRI UN  EQUITY,DARDEN RESTAURANTS INC,"Consumer, Cyclical",Retail,11799950199.84,95.5,"Eugene I Lee Jr ""Gene""",10/14/2014,6361776,1-407-245-4000,www.darden.com
DTE UN  EQUITY,DTE ENERGY COMPANY,Utilities,Electric,18344809468.89,102.08,"Gerard M Anderson ""Gerry""",9/1/2010,12498939,1-313-235-4000,www.newlook.dteenergy.com
DUK UN  EQUITY,DUKE ENERGY CORP,Utilities,Electric,53575288743.93,76.49,Lynn J Good,6/1/2013,13793594,1-704-382-3853,www.duke-energy.com
